id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
171,SOUTH WELLFLEET,Massachusetts,MA,96,72.5,2.04,35859,61875,43583
172,SOUTH YARMOUTH,Massachusetts,MA,9226,52.4,2.18,28843,56242,33321
173,WEST YARMOUTH,Massachusetts,MA,8397,48.7,2.25,33155,70736,36215
174,SPENCER,Massachusetts,MA,11856,45.1,2.37,30109,65386,31155
175,STERLING,Massachusetts,MA,8000,44.7,2.91,43408,102500,43640
177,STOUGHTON,Massachusetts,MA,28338,43.5,2.61,34513,78343,35777
178,STOW,Massachusetts,MA,7061,44.1,2.69,59542,144766,58780
179,FISKDALE,Massachusetts,MA,3490,42.6,2.49,35030,58438,39866
180,STURBRIDGE,Massachusetts,MA,6006,42,2.7,41505,95800,44937
181,SUDBURY,Massachusetts,MA,18697,44.1,2.97,65431,170945,75430
182,SUTTON,Massachusetts,MA,9297,44.8,2.78,48605,101315,43451
183,TEMPLETON,Massachusetts,MA,4124,47.2,2.18,36462,64872,38444
184,TEWKSBURY,Massachusetts,MA,30433,44.4,2.61,40908,94817,41265
185,TOPSFIELD,Massachusetts,MA,6496,46.3,2.83,48911,131387,54091
186,TOWNSEND,Massachusetts,MA,7454,39.2,2.78,40361,84489,39302
187,WEST TOWNSEND,Massachusetts,MA,1964,44.5,2.75,33676,84851,47724
188,TRURO,Massachusetts,MA,638,64,1.78,26484,63306,34001
189,TYNGSBORO,Massachusetts,MA,12305,40.8,2.81,43087,101620,43685
190,UXBRIDGE,Massachusetts,MA,13864,40.3,2.86,39516,94809,35943
191,VINEYARD HAVEN,Massachusetts,MA,4100,42.6,2.81,31213,48869,37472
192,WAKEFIELD,Massachusetts,MA,26450,43.8,2.52,46082,93337,44843
193,WALPOLE,Massachusetts,MA,19358,43,2.74,47012,105420,48885
194,WAREHAM,Massachusetts,MA,10940,43.6,2.35,31352,59449,30920
195,WAYLAND,Massachusetts,MA,13850,44.5,2.73,70119,166548,78360
196,WEBSTER,Massachusetts,MA,16926,41,2.46,29659,52107,28964
197,DUDLEY,Massachusetts,MA,11637,37.9,2.74,30042,64281,30057
198,WELLFLEET,Massachusetts,MA,3075,57.4,2.1,25074,57667,35707
199,CUMMAQUID,Massachusetts,MA,141,52.6,2.52,59375,142692,76937
200,DANVERS,Massachusetts,MA,27391,45,2.51,38340,79795,39435
201,DEDHAM,Massachusetts,MA,25362,43.3,2.47,42933,89451,47960
202,DENNIS,Massachusetts,MA,3011,66.8,1.99,34045,70850,46941
203,DENNIS PORT,Massachusetts,MA,2949,49.4,1.89,29055,44787,32823
204,DOVER,Massachusetts,MA,5922,44.7,2.94,67917,204018,106077
205,DRACUT,Massachusetts,MA,30948,40.1,2.76,37490,86644,36352
206,DUNSTABLE,Massachusetts,MA,3337,45.5,2.93,52317,138700,57005
207,DUXBURY,Massachusetts,MA,15572,45.5,2.85,52370,123613,55225
208,EAST BRIDGEWATER,Massachusetts,MA,14301,39.8,2.93,36990,86568,35012
209,EAST BROOKFIELD,Massachusetts,MA,2123,42.2,2.56,37221,80234,36927
211,DOUGLAS,Massachusetts,MA,8745,41.7,2.78,41262,94531,37825
212,EAST FALMOUTH,Massachusetts,MA,19191,48.6,2.37,34375,67880,37537
213,EASTHAM,Massachusetts,MA,4908,59.1,2.01,31003,62143,39357
214,EAST SANDWICH,Massachusetts,MA,6572,45.7,2.69,38750,95966,44247
215,EAST TEMPLETON,Massachusetts,MA,563,60.1,2.45,32039,74142,36265
216,EAST WALPOLE,Massachusetts,MA,4410,42.9,2.68,53929,120250,56421
