id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,per_capita_income
13202,SPRINGFIELD,Nebraska,NE,2975,49.1,2.44,35516,74676,36539
13203,MILLS,Nebraska,NE,85,48.5,2.07,24583,42969,26925
13204,SPRINGVIEW,Nebraska,NE,540,46.6,2.19,28281,50313,27658
13205,STAMFORD,Nebraska,NE,320,35.5,2.86,26705,41875,17469
13206,STANTON,Nebraska,NE,2745,40.1,2.58,28266,55500,25128
13207,STAPLEHURST,Nebraska,NE,526,33.2,2.55,34173,54628,24999
13208,STAPLETON,Nebraska,NE,949,41.3,2.45,28553,53750,28383
13209,STELLA,Nebraska,NE,283,64.3,1.98,37500,51354,37768
13211,STERLING,Nebraska,NE,995,50.4,2.09,34327,55813,32410
13212,STOCKVILLE,Nebraska,NE,77,24.9,3.08,40119,46417,19168
13213,STRATTON,Nebraska,NE,444,50.5,2.12,28203,44844,28668
13214,STROMSBURG,Nebraska,NE,1562,42.8,2.59,31116,63661,35512
13215,STUART,Nebraska,NE,1016,44,2.1,30898,58289,33401
13216,SUMNER,Nebraska,NE,421,35.6,2.57,30000,52500,21782
13217,SUPERIOR,Nebraska,NE,2104,52,2.04,23521,37591,24146
13218,SUTHERLAND,Nebraska,NE,1962,44.3,2.42,30842,68807,31019
13219,SARONVILLE,Nebraska,NE,129,27.1,2.87,42895,82583,26404
13220,SUTTON,Nebraska,NE,1943,46.4,2.37,30850,59076,29805
13221,SWANTON,Nebraska,NE,72,51.5,1.85,36071,55417,29981
13222,SYRACUSE,Nebraska,NE,2797,41.7,2.4,37257,59861,30507
13223,TABLE ROCK,Nebraska,NE,490,46.3,2.15,23967,43750,25408
13224,BROCK,Nebraska,NE,375,34.5,2.33,31607,49375,31299
13225,TALMAGE,Nebraska,NE,398,47.8,2.6,21250,44583,26884
13226,TAYLOR,Nebraska,NE,360,51,2.24,28125,56563,29342
13227,TECUMSEH,Nebraska,NE,3181,38.6,2.09,16376,47802,17452
13228,TEKAMAH,Nebraska,NE,2333,42.4,2.34,26550,53140,24132
13229,THEDFORD,Nebraska,NE,638,42.3,2.16,30958,58036,30555
13230,THURSTON,Nebraska,NE,277,45.1,2.39,36250,61389,38995
13231,TILDEN,Nebraska,NE,1628,38,2.61,28021,50242,26423
13232,TOBIAS,Nebraska,NE,279,54.9,1.94,34750,68750,37708
13233,TRENTON,Nebraska,NE,728,51.4,1.95,21510,32115,22890
13234,TRUMBULL,Nebraska,NE,489,30.6,3.11,26667,57321,26654
13235,TRYON,Nebraska,NE,354,49,2.2,33333,60268,26853
13236,UEHLING,Nebraska,NE,212,56,1.98,21750,43194,26670
13237,SURPRISE,Nebraska,NE,113,45.9,1.88,35288,56500,42678
13238,ULYSSES,Nebraska,NE,385,51.3,2.23,28854,51146,28115
13239,UNADILLA,Nebraska,NE,559,46.3,2.44,35172,70288,31179
13240,UNION,Nebraska,NE,475,57.4,1.97,31106,58523,38818
13241,UPLAND,Nebraska,NE,343,47.8,2.45,26500,55500,24913
13242,UTICA,Nebraska,NE,1113,43.8,2.33,35662,66375,40955
13243,VALENTINE,Nebraska,NE,3944,42.6,2.16,30730,54958,26344
13245,VALLEY,Nebraska,NE,3276,48.3,2.08,31786,58690,43660
13246,VALPARAISO,Nebraska,NE,1605,47.8,2.5,32297,58309,28407
13247,VENANGO,Nebraska,NE,235,49.4,1.97,32500,58359,30167
13248,VERDIGRE,Nebraska,NE,980,50.2,2.23,19583,40417,21246
13249,VERDON,Nebraska,NE,244,51.1,2.18,31161,61667,29105
13250,WACO,Nebraska,NE,713,52.5,2.17,34671,65000,34744
13251,WAHOO,Nebraska,NE,5658,36.5,2.54,31287,57115,27868
13252,WAKEFIELD,Nebraska,NE,1959,39.2,2.64,31270,64375,24871
13253,WALLACE,Nebraska,NE,561,53.1,2.39,29718,62917,33509
13254,WALTHILL,Nebraska,NE,1159,27.2,3.69,16985,39667,13773
13255,WALTON,Nebraska,NE,733,45.7,3.03,29400,104265,58557
13256,WATERBURY,Nebraska,NE,342,30,3.35,42396,108333,34650
13257,WATERLOO,Nebraska,NE,2900,46,2.49,42500,82143,64516
13258,WAUNETA,Nebraska,NE,1169,41,2.23,29063,49318,26007
13259,WAUSA,Nebraska,NE,1054,49.7,2.24,30270,62500,37165
13260,WAVERLY,Nebraska,NE,4285,33.9,2.86,37809,85104,34638
13261,WAYNE,Nebraska,NE,6381,27.5,2.12,15927,48318,25520
13262,WEEPING WATER,Nebraska,NE,1359,47.4,2.2,34657,59375,29336
13263,DICKENS,Nebraska,NE,130,46.4,2.2,34417,64313,35148
13264,WELLFLEET,Nebraska,NE,269,51.8,2.2,25139,42857,24775
13265,WESTERN,Nebraska,NE,527,51.1,2.25,24125,56250,27080
13266,WESTON,Nebraska,NE,602,38.2,2.56,30955,50694,23199
13267,WEST POINT,Nebraska,NE,4635,44.5,2.28,27138,46855,28625
13268,WHITMAN,Nebraska,NE,288,35.3,2.73,10809,46250,15972
13269,WILBER,Nebraska,NE,2289,40.7,2.59,29238,56950,24880
13270,WILCOX,Nebraska,NE,693,44.1,2.41,28466,55956,26571
13272,WILSONVILLE,Nebraska,NE,158,60.9,1.68,31250,50833,33049
13273,WINNEBAGO,Nebraska,NE,2133,21.5,3.92,18333,38558,12373
13274,WINSIDE,Nebraska,NE,858,37.8,2.42,31858,65294,33405
13275,WINSLOW,Nebraska,NE,53,39.3,1.89,25114,32500,64498
13276,WISNER,Nebraska,NE,1906,35.6,2.46,31000,48934,28974
13277,WOLBACH,Nebraska,NE,367,39.3,2.16,24766,37037,20417
13278,WOOD LAKE,Nebraska,NE,242,35.6,2.88,21875,60357,25350
13279,WOOD RIVER,Nebraska,NE,2615,41.4,2.62,27094,56691,28743
13280,BARNESTON,Nebraska,NE,113,45.5,2.13,21563,47813,22441
13281,WYMORE,Nebraska,NE,1796,47.1,2.25,25066,42697,22701
13282,WYNOT,Nebraska,NE,395,48.2,2.31,30288,62768,28418
13283,YORK,Nebraska,NE,9486,39,2.24,25344,55152,27208
13284,YUTAN,Nebraska,NE,1824,39.9,2.6,35413,69881,34320
13285,AGATE,Colorado,CO,475,40.7,3.06,27500,56875,27480
13286,AGUILAR,Colorado,CO,948,52.3,2.33,18920,44688,27017
13287,AKRON,Colorado,CO,2880,38.1,2.26,25797,52083,23733
13288,ALAMOSA,Colorado,CO,15568,30.1,2.52,17368,35776,19021
13289,ALLENSPARK,Colorado,CO,398,62.1,1.74,35150,49656,57378
13290,ALMA,Colorado,CO,903,38.4,2.58,26125,46765,37718
13293,ANTON,Colorado,CO,126,52.6,2.03,21875,41000,23844
13294,ANTONITO,Colorado,CO,2128,47,2.25,17313,28137,18590
13295,ARAPAHOE,Colorado,CO,377,33.2,3.4,34083,67639,21936
13296,ARBOLES,Colorado,CO,246,61,1.74,27045,39792,32639
13298,ARRIBA,Colorado,CO,273,53.1,2.17,19706,32167,20225
13299,ARVADA,Colorado,CO,131320,39.64,2.53,41948.6,84455.4,40229.8
13300,ASPEN,Colorado,CO,10299,43.4,2.3,42649,71199,82529
13301,SNOWMASS VILLAGE,Colorado,CO,2827,42.5,2.37,34561,58233,41921
13302,ATWOOD,Colorado,CO,374,34.5,2.92,25625,44500,21394
13303,AULT,Colorado,CO,3384,33.6,2.79,32344,56655,25646
13304,AURORA,Colorado,CO,427560,33.78,2.78,35099.36,67489.45,29494.91
13305,AUSTIN,Colorado,CO,1537,59.8,2.19,20774,40125,24465
13306,AVON,Colorado,CO,11447,31.5,3.18,33213,72607,36662
13307,AVONDALE,Colorado,CO,1435,43.6,2.85,25956,50875,21803
13308,BAILEY,Colorado,CO,8770,48.4,2.34,31998,66618,32959
13309,BASALT,Colorado,CO,5973,42.2,2.35,38831,78026,49339
13310,BAYFIELD,Colorado,CO,8052,42.5,2.4,35939,62513,32533
13312,BELLVUE,Colorado,CO,1673,57.4,1.96,26429,42007,39428
13313,BENNETT,Colorado,CO,5602,44.6,2.74,33014,69849,33538
13314,BERTHOUD,Colorado,CO,12001,44.5,2.64,35470,87513,41163
13315,BETHUNE,Colorado,CO,452,37.7,2.4,27135,48750,23123
13316,BEULAH,Colorado,CO,1430,49.7,2.51,34858,66071,31560
13317,BLACK HAWK,Colorado,CO,4632,44.7,2.34,40686,73509,42661
13318,BLANCA,Colorado,CO,1037,42.2,3.01,18875,33333,20105
13321,BOONE,Colorado,CO,940,36.5,2.5,24361,38750,20621
13322,BOULDER,Colorado,CO,129969,31.43,2.26,28804.67,63148.17,39813.67
13323,BRANSON,Colorado,CO,174,43.3,2.02,35694,37083,24968
13324,BRECKENRIDGE,Colorado,CO,10204,35.5,3.34,32311,85182,38006
13325,BRIGGSDALE,Colorado,CO,809,43.5,2.83,34038,78824,45917
13326,BRIGHTON,Colorado,CO,84925,35.27,3.04,39436,85118.67,33816.67
13327,BROOMFIELD,Colorado,CO,102774,38.57,2.51,45286.33,91658.33,44661.33
13328,BRUSH,Colorado,CO,7174,35,2.65,25868,52245,24517
13329,BUENA VISTA,Colorado,CO,8178,46,2.31,22012,53779,24784
13331,BURLINGTON,Colorado,CO,5248,37.4,2.5,23965,46726,25700
13332,BURNS,Colorado,CO,73,39.6,1.55,35500,36750,24384
13333,BYERS,Colorado,CO,2734,43.9,2.89,34583,70266,32273
13334,CAHONE,Colorado,CO,156,57.4,2.03,35804,41382,21196
13335,CALHAN,Colorado,CO,5835,42.2,2.57,30971,61528,28541
13336,CAMPO,Colorado,CO,192,55.7,2,23235,31667,22718
13337,CANON CITY,Colorado,CO,30053,44.3,2.1,21756,44535,20633
13339,CARBONDALE,Colorado,CO,15745,36.7,2.9,36664,83090,37501
13341,CASCADE,Colorado,CO,1274,54.1,2,32092,60278,42867
13342,CASTLE ROCK,Colorado,CO,77585,37.5,2.92,49232,115339.33,48887.33
13343,CEDAREDGE,Colorado,CO,4630,57.7,2.25,21100,43006,27101
13344,CENTER,Colorado,CO,3436,38.6,2.85,18777,39750,20588
13345,CENTRAL CITY,Colorado,CO,770,46.8,1.61,30317,45938,37961
13346,CHAMA,Colorado,CO,229,63.9,1.7,13906,17917,21642
13347,CHERAW,Colorado,CO,150,38,2.68,21750,46429,20318
13348,CHEYENNE WELLS,Colorado,CO,1166,38.1,2.48,28140,48750,23413
13349,CHROMO,Colorado,CO,182,30.7,2.98,35167,56250,22904
13350,CIMARRON,Colorado,CO,136,70,1.77,48056,82188,40917
13351,CLARK,Colorado,CO,730,55.5,2.75,37188,73667,35017
13352,CLIFTON,Colorado,CO,13551,33.6,2.58,19519,34907,19024
13353,COAL CREEK,Colorado,CO,334,36.6,2.74,27115,50278,21796
13355,COLLBRAN,Colorado,CO,1407,36,2.4,23664,57321,26748
13356,COLORADO SPRINGS,Colorado,CO,571252,34.63,2.8,33278.62,70292.36,30109.41
13357,COMMERCE CITY,Colorado,CO,48652,30.5,3.46,30508,60269,21830
13358,CONEJOS,Colorado,CO,128,59.6,2.03,13563,20313,10808
13359,CONIFER,Colorado,CO,8480,47,2.5,44988,92561,48938
13360,COPE,Colorado,CO,221,45.9,2.28,18563,46250,46912
13361,CORTEZ,Colorado,CO,14960,41.7,2.43,24834,45036,23602
13362,COTOPAXI,Colorado,CO,1376,61.5,1.9,18987,34750,24076
13363,COWDREY,Colorado,CO,26,56.2,1.73,25875,25875,12069
13364,CRAIG,Colorado,CO,12398,37.7,2.55,29065,53406,27453
13365,CRAWFORD,Colorado,CO,1276,54.3,2.41,31479,66384,38085
13366,CREEDE,Colorado,CO,820,58.6,2,30038,51538,33154
13367,CRESTED BUTTE,Colorado,CO,4773,36.3,2.49,33942,69265.5,35073.5
13368,CRESTONE,Colorado,CO,1219,52.9,2,21860,32386,23687
13369,CRIPPLE CREEK,Colorado,CO,1684,51.3,2.14,24732,44583,22969
13370,CROOK,Colorado,CO,769,36.4,2.62,30684,56776,27517
13371,CROWLEY,Colorado,CO,198,29.6,3.6,25208,33594,20438
13372,DACONO,Colorado,CO,5010,32.7,2.63,28294,53105,25605
13373,DE BEQUE,Colorado,CO,882,38.5,2.68,27656,57708,26079
13374,DEER TRAIL,Colorado,CO,1130,51.4,2.24,31544,63250,30045
13375,DEL NORTE,Colorado,CO,3101,43.8,2.32,20219,34673,24752
13376,DELTA,Colorado,CO,14285,41.1,2.44,23217,39926,22499
13377,DENVER,Colorado,CO,1067447,34.98,2.4,36172.71,63379.47,38451.61
13378,THORNTON,Colorado,CO,33669,35.9,2.9,40224,85380,36009
13379,DILLON,Colorado,CO,7162,34.5,3.25,30363,75924,36866
13380,SILVERTHORNE,Colorado,CO,8155,38.6,3.07,36896,72121.5,36212
13381,DINOSAUR,Colorado,CO,359,35.3,2.51,24167,40417,22076
13382,DIVIDE,Colorado,CO,3339,51.2,2.26,33371,70394,33422
13383,DOLORES,Colorado,CO,4423,47.7,2.45,26938,51928,27961
13384,DOVE CREEK,Colorado,CO,1219,53.9,2.41,24375,38125,22171
13385,DRAKE,Colorado,CO,1135,47.3,2.33,39122,72622,36275
13386,DUMONT,Colorado,CO,512,45.3,2.07,31875,61985,32901
13387,DUPONT,Colorado,CO,293,37.9,2.84,33803,33533,17823
13388,DURANGO,Colorado,CO,38844,39.15,2.42,30266,63295.5,34760
13389,EADS,Colorado,CO,1002,42.2,2.32,21719,37721,21355
13390,EAGLE,Colorado,CO,8368,37.7,3.22,48618,114528,39348
13391,EATON,Colorado,CO,8090,38.2,2.82,31530,73861,28502
13392,ECKERT,Colorado,CO,1851,48.4,2.49,26250,40605,27151
13393,ECKLEY,Colorado,CO,498,26.5,2.42,30938,41905,23565
13394,EDWARDS,Colorado,CO,9159,36.2,3.03,29950,82839,43063
13395,EGNAR,Colorado,CO,194,58.3,1.6,24875,37083,28423
13396,ELBERT,Colorado,CO,4999,47.5,2.76,39525,100727,37596
13398,ELIZABETH,Colorado,CO,13007,44.4,2.93,38757,92609,40792
13399,EMPIRE,Colorado,CO,401,56.1,1.75,27750,36620,32930
13400,ENGLEWOOD,Colorado,CO,109970,37.65,2.41,40866,77471.25,48655.5
13401,ERIE,Colorado,CO,25117,37.6,2.91,50165,112113,44329
13402,ESTES PARK,Colorado,CO,9755,45.1,1.98,31752,58387,22936
13403,EVANS,Colorado,CO,18912,29.7,2.96,27739,50930,21969
13404,EVERGREEN,Colorado,CO,24284,47.9,2.43,47531,100775,55184
13406,FAIRPLAY,Colorado,CO,2356,41.6,2.31,33260,54688,35686
13407,JEFFERSON,Colorado,CO,957,59.4,2.23,25484,55135,34366
13408,FIRESTONE,Colorado,CO,1561,36.8,2.98,36905,67714,24530
13409,FLAGLER,Colorado,CO,768,50.3,2.13,24500,42279,31357
13410,FLEMING,Colorado,CO,1130,42.3,2.89,24044,54338,22993
13411,FLORENCE,Colorado,CO,9041,41.7,2.22,17414,41714,15374
13412,FLORISSANT,Colorado,CO,5605,54.8,2.23,27684,50828,31125
13413,FORT COLLINS,Colorado,CO,191265,32.22,2.52,30025.6,65929.8,33993.6
13414,FORT GARLAND,Colorado,CO,983,55.4,2.3,18963,34821,25030
13415,FORT LUPTON,Colorado,CO,12397,37.2,2.89,31481,58295,28207
13416,FORT MORGAN,Colorado,CO,15316,35.6,2.62,27279,51001,23973
13417,LOG LANE VILLAGE,Colorado,CO,1236,34.9,2.78,21491,35982,16805
13418,FOUNTAIN,Colorado,CO,30038,30.1,2.95,34506,60936,24285
13419,FOWLER,Colorado,CO,1732,43.1,2.35,23719,41989,27180
13420,FRANKTOWN,Colorado,CO,4017,49.7,2.8,39173,113750,48031
13421,FRASER,Colorado,CO,2261,33,2.89,27159,48629,24500
13422,FREDERICK,Colorado,CO,4322,37,2.71,34261,74038,31459
13423,FRISCO,Colorado,CO,4201,45.8,2.49,30408,61404,32048
13424,FRUITA,Colorado,CO,15923,39,2.53,26850,57927,26591
13425,GALETON,Colorado,CO,228,36.2,3.01,29318,76094,21837
13426,GARDNER,Colorado,CO,301,61.4,1.37,30329,35342,37625
13428,GENOA,Colorado,CO,299,51.9,2.15,34000,62396,34640
13429,GEORGETOWN,Colorado,CO,1271,47.3,1.83,41517,61094,40050
13430,GILCREST,Colorado,CO,955,39.6,2.91,28661,53056,19877
13431,GILL,Colorado,CO,1362,35.9,2.9,32109,72399,25879
13433,GLENWOOD SPRINGS,Colorado,CO,15590,37.7,2.61,32142,70724,33910
13434,GOLDEN,Colorado,CO,60147,41.6,2.38,43140.5,92454,51143
13435,GRANADA,Colorado,CO,726,33.8,2.94,15580,28882,19229
13436,GRANBY,Colorado,CO,4335,46.1,2.68,33816,68450,32820
13437,GRAND JUNCTION,Colorado,CO,104357,41.58,2.34,28376.17,54173.5,30442.5
13438,GLADE PARK,Colorado,CO,1212,56.7,2.3,40890,87519,55457
13439,GRAND LAKE,Colorado,CO,1549,62.6,1.95,40793,85942,50800
13440,GREELEY,Colorado,CO,111248,32.1,2.73,26948.5,54615,25139
13441,GREEN MOUNTAIN FALLS,Colorado,CO,767,46.1,2.01,33173,55192,30122
13442,GROVER,Colorado,CO,618,49.1,2.54,21667,42083,21172
13443,GUFFEY,Colorado,CO,844,60.3,2.07,31912,69410,44857
13444,GUNNISON,Colorado,CO,10194,26.9,2.32,13318,47018,15496
13445,GYPSUM,Colorado,CO,8527,39.2,3.33,36515,90179,35755
13446,HAMILTON,Colorado,CO,205,35,2.97,45417,80536,28945
13448,HARTSEL,Colorado,CO,801,56.1,1.82,30625,48810,33536
13449,HASTY,Colorado,CO,253,38.7,2.01,26184,31364,20149
13450,HASWELL,Colorado,CO,54,57.5,1.93,26563,46250,23924
13451,HAXTUN,Colorado,CO,1368,41.7,2.36,26042,46382,23843
13452,HAYDEN,Colorado,CO,2326,40.6,2.54,33588,59844,29444
13453,HENDERSON,Colorado,CO,13194,31,3.61,35337,79596,26371
13454,HESPERUS,Colorado,CO,2206,43.5,2.5,30123,54327,27556
13455,HILLROSE,Colorado,CO,447,44.6,2.26,28500,65250,29891
13456,HOLLY,Colorado,CO,1549,38.5,2.49,23348,44219,21395
13457,HOLYOKE,Colorado,CO,2890,36.9,2.56,29915,55250,29950
13458,HOOPER,Colorado,CO,132,57.1,1.59,24375,24922,24796
13459,HOTCHKISS,Colorado,CO,4006,47.4,2.45,23875,41858,25449
13460,HOT SULPHUR SPRINGS,Colorado,CO,1073,34.6,3.11,34750,69048,30694
13461,HOWARD,Colorado,CO,916,53.4,2.04,27662,54583,34603
13462,HUDSON,Colorado,CO,3600,39.5,2.77,26970,69420,31392
13463,HUGO,Colorado,CO,1083,44.2,2.43,25223,45000,20784
13464,IDAHO SPRINGS,Colorado,CO,3090,45.3,2.03,32993,56823,31017
13465,IDALIA,Colorado,CO,513,24,3.92,32218,65694,27156
13466,IDLEDALE,Colorado,CO,422,43.3,2.5,42679,84663,33730
13467,IGNACIO,Colorado,CO,5785,42.4,2.58,29952,53325,26191
13468,ILIFF,Colorado,CO,613,39.3,3,29338,61250,24103
13469,INDIAN HILLS,Colorado,CO,1332,36.5,2.77,39053,83194,36414
13470,JAMESTOWN,Colorado,CO,473,44.1,1.86,40417,65500,45997
13472,JOES,Colorado,CO,169,53.4,2.06,36806,64167,33970
13473,JOHNSTOWN,Colorado,CO,16258,34.8,2.83,39017,86273,36191
13474,JULESBURG,Colorado,CO,1656,45,2.39,25662,54038,25368
13475,KARVAL,Colorado,CO,174,46,2.85,18750,48542,18020
13476,KEENESBURG,Colorado,CO,3436,44.3,2.65,33583,73125,34461
13477,KERSEY,Colorado,CO,3552,36.1,3.02,30959,62115,28047
13478,KIM,Colorado,CO,306,52.5,2.23,26250,49688,31165
13479,KIOWA,Colorado,CO,2785,48.1,2.48,42370,89038,42593
13480,KIRK,Colorado,CO,208,38.7,2.24,27375,45250,27194
13481,KIT CARSON,Colorado,CO,503,34.5,2.85,29250,66250,24451
13482,KITTREDGE,Colorado,CO,317,38.5,2.69,31563,93929,29853
13483,KREMMLING,Colorado,CO,2501,38.3,2.71,25473,51875,22723
13484,LAFAYETTE,Colorado,CO,29160,39.4,2.45,37598,76794,42464
13485,LA JARA,Colorado,CO,2470,35,2.89,21678,47813,22273
13486,LA JUNTA,Colorado,CO,9064,38.7,2.29,18689,33091,19727
13487,LAKE CITY,Colorado,CO,737,55.7,2.24,26625,49375,29335
13488,LAKE GEORGE,Colorado,CO,659,57,1.98,44507,86719,34827
13489,LAMAR,Colorado,CO,9119,37.1,2.35,24428,41860,22012
13490,LAPORTE,Colorado,CO,2604,52.6,2.15,31125,60903,31632
13491,LARKSPUR,Colorado,CO,6296,49.1,2.61,52250,116419,54097
13492,LA SALLE,Colorado,CO,4808,37.7,3.02,27178,59207,26646
13493,LAS ANIMAS,Colorado,CO,4910,40.8,2.14,11941,29627,12485
13494,LA VETA,Colorado,CO,1410,57,1.85,25071,43235,28932
13495,LEADVILLE,Colorado,CO,7319,39,2.22,31359,45941,28285
13496,LEWIS,Colorado,CO,394,56.9,1.92,21979,30114,19907
13497,LIMON,Colorado,CO,3597,37.1,2.34,11821,45972,11959
13498,LINDON,Colorado,CO,147,52.9,2.16,32031,62917,27463
13499,LITTLETON,Colorado,CO,322524,41.21,2.63,46031.3,98070.8,47613.3
13500,LONE TREE,Colorado,CO,20366,37.9,2.53,53262,110403,59119
13501,LIVERMORE,Colorado,CO,2360,54.3,2.25,31121,62972,40727
13502,LOMA,Colorado,CO,1843,47.2,2.49,33320,61964,29704
13503,LONGMONT,Colorado,CO,128146,38.63,2.66,35233.33,76538.33,36961.33
13504,LOUISVILLE,Colorado,CO,33286,40.6,2.59,48332,105009,48434
13505,LOUVIERS,Colorado,CO,265,42.8,2.28,33073,59167,30397
13506,LOVELAND,Colorado,CO,90148,41.5,2.45,31907.5,63741.5,32604
13507,LYONS,Colorado,CO,4493,44.8,2.55,43057,95313,44698
13508,MC CLAVE,Colorado,CO,468,34.1,2.52,30988,50000,21998
13509,MC COY,Colorado,CO,165,61,2.17,37159,76364,30567
13510,MACK,Colorado,CO,1400,30.4,2.84,24504,42072,19759
13511,MANASSA,Colorado,CO,1476,32.3,3.23,19387,36442,16096
13512,MANCOS,Colorado,CO,4366,47.3,2.44,26526,49327,26794
13513,MANITOU SPRINGS,Colorado,CO,5780,45.3,2.12,37679,66829,43875
13514,MANZANOLA,Colorado,CO,926,49,2.3,20325,36295,18349
13515,MATHESON,Colorado,CO,168,64,1.65,35536,53571,38569
13517,MEAD,Colorado,CO,4384,36.1,2.98,46723,91009,36558
13518,MEEKER,Colorado,CO,3852,37.5,2.58,28482,51845,26911
13520,MERINO,Colorado,CO,770,38,2.38,27031,49167,30716
13521,MESA,Colorado,CO,605,58,2.19,35398,73750,38104
13523,MILLIKEN,Colorado,CO,6577,33.2,2.83,35547,78722,29243
13524,MINTURN,Colorado,CO,1234,41.9,2.82,32474,83214,37950
13525,MODEL,Colorado,CO,587,40.7,2.25,29625,50750,8534
13526,MOFFAT,Colorado,CO,750,51,2.32,21000,27386,18969
13528,MONTE VISTA,Colorado,CO,7008,39,2.44,23079,40785,21800
13529,MONTROSE,Colorado,CO,32959,45.95,2.4,26294.5,49085,26003
13530,MONUMENT,Colorado,CO,21736,43.3,2.97,46543,126619,49462
13531,MORRISON,Colorado,CO,16204,44.7,2.61,42683,98967,51967
13532,MOSCA,Colorado,CO,719,35.9,2.96,23125,51875,18570
13533,NATHROP,Colorado,CO,1026,62.3,2.19,39750,65944,30256
13534,NATURITA,Colorado,CO,647,40.9,2.16,22188,37708,21851
13535,NEDERLAND,Colorado,CO,3456,40.3,2.23,32477,66979,36862
13536,NEW CASTLE,Colorado,CO,7279,36.1,2.87,39228,81029,31709
13537,NEW RAYMER,Colorado,CO,203,51.1,2.09,31016,52321,32187
13539,NORWOOD,Colorado,CO,1729,42,2.7,25870,52292,27399
13540,NUCLA,Colorado,CO,1038,55.8,2.04,27162,48167,27592
13541,NUNN,Colorado,CO,1112,41.9,2.53,34167,63984,31843
13542,OAK CREEK,Colorado,CO,2161,42,2.21,31741,53452,29015
13543,OLATHE,Colorado,CO,5622,39.4,2.72,22318,41325,18970
13544,OLNEY SPRINGS,Colorado,CO,1842,42.4,3.05,12083,38125,12453
13545,OPHIR,Colorado,CO,133,45.3,2.22,41250,66250,33063
13546,ORCHARD,Colorado,CO,293,60.3,1.99,29063,53438,27516
13547,ORDWAY,Colorado,CO,2738,33.3,4.32,13101,31741,13314
13548,OTIS,Colorado,CO,990,44.1,2.22,31111,49688,28376
13549,OURAY,Colorado,CO,934,55,2.03,31656,63906,35111
13550,OVID,Colorado,CO,411,50.5,2.2,21563,29375,20891
13552,PAGOSA SPRINGS,Colorado,CO,11944,49.5,2.24,25770,47889,29220
13553,PALISADE,Colorado,CO,5487,45.5,2.43,29864,58750,30606
13554,PALMER LAKE,Colorado,CO,2445,35.5,2.49,29067,54904,29195
13556,PAONIA,Colorado,CO,3328,51.1,2.41,22513,46089,31653
13557,PARACHUTE,Colorado,CO,6942,38.9,2.59,34259,66154,31974
13558,PARADOX,Colorado,CO,46,75.8,2.3,20455,37273,26761
13559,PARKER,Colorado,CO,96103,38.5,2.84,50238.5,110242,46195
13560,OHIO CITY,Colorado,CO,57,53.8,1.5,44875,73824,47456
13563,PEETZ,Colorado,CO,375,48.3,2.55,36667,61250,38916
13564,PENROSE,Colorado,CO,3677,49.1,2.39,23929,60000,30670
13565,PEYTON,Colorado,CO,23859,37.9,2.97,37520,86967,32528
13566,PHIPPSBURG,Colorado,CO,364,46.3,1.87,32016,46141,30882
13567,PIERCE,Colorado,CO,1502,44,2.55,30139,62802,29335
13568,BUFFALO CREEK,Colorado,CO,218,62.1,1.92,47031,132344,84549
13569,PINE,Colorado,CO,3395,47.5,2.54,44449,99491,45165
13570,PITKIN,Colorado,CO,90,30.4,3.1,45313,59250,25724
13571,PLACERVILLE,Colorado,CO,669,58.2,1.83,31480,50500,57599
13572,PLATTEVILLE,Colorado,CO,4118,38.3,2.87,33971,64069,31073
13573,PLEASANT VIEW,Colorado,CO,448,52.5,2.31,25208,43864,30120
13574,PONCHA SPRINGS,Colorado,CO,669,34.9,2.55,26250,46875,22632
13576,PRITCHETT,Colorado,CO,271,51.3,2.26,26932,46250,25114
13577,PUEBLO,Colorado,CO,156597,39.21,2.48,24127,45007.71,23335.57
13578,COLORADO CITY,Colorado,CO,1847,40.3,2.97,24159,53693,23168
13579,RAMAH,Colorado,CO,694,46,2.68,26429,49583,21101
13581,RANGELY,Colorado,CO,2625,33.8,2.57,31250,73500,30250
13582,RED CLIFF,Colorado,CO,301,50.1,2.95,35000,60455,31043
13583,RED FEATHER LAKES,Colorado,CO,683,65.2,1.8,33542,61125,45621
13584,REDVALE,Colorado,CO,395,49.5,2.04,30625,46827,34441
13585,RICO,Colorado,CO,193,42.5,2.12,33250,36875,31014
13586,RIDGWAY,Colorado,CO,3090,52.7,2.1,32348,60458,35651
13587,RIFLE,Colorado,CO,13147,33.8,2.77,32687,59275,24961
13588,ROCKVALE,Colorado,CO,439,50.4,2.14,20048,45250,22203
13589,ROCKY FORD,Colorado,CO,5986,42.7,2.48,22303,36203,19955
13590,ROGGEN,Colorado,CO,448,46.3,1.82,25637,25189,22956
13591,ROMEO,Colorado,CO,305,35.8,2.42,12426,19167,14743
13592,RUSH,Colorado,CO,658,44.7,2.63,23676,47935,21958
13593,RYE,Colorado,CO,1530,61.6,2.13,32487,72717,38728
13594,SAGUACHE,Colorado,CO,774,55.6,1.97,19276,31983,20218
13595,SALIDA,Colorado,CO,8941,50.9,2.14,26061,51691,33013
13598,SANFORD,Colorado,CO,1547,34.5,3.02,25357,45577,18396
13599,SAN LUIS,Colorado,CO,1220,53.3,2.05,17132,26394,18397
13600,SARGENTS,Colorado,CO,200,63.8,2.22,45302,55250,22626
13601,SEDALIA,Colorado,CO,3909,53,2.53,42250,101444,56511
