id,city,state,state_abbr,population,median_age,average_household_size,median_income,household_income,household_income
87,BERLIN,Massachusetts,MA,3098.0,47.6,2.69,40734.0,48547.0,48547.0
88,BEVERLY,Massachusetts,MA,41431.0,40.9,2.33,32736.0,43766.0,43766.0
89,BILLERICA,Massachusetts,MA,32348.0,40.7,2.88,40243.0,39431.0,39431.0
90,BLACKSTONE,Massachusetts,MA,9201.0,41.6,2.66,38984.0,35249.0,35249.0
91,BOLTON,Massachusetts,MA,5167.0,42.7,3.05,61429.0,54618.0,54618.0
92,BOSTON,Massachusetts,MA,233796.0,33.37,1.87,50040.13,73306.73,73306.73
93,ROXBURY,Massachusetts,MA,28152.0,33.9,2.45,19683.0,21557.0,21557.0
94,ROXBURY CROSSING,Massachusetts,MA,15719.0,24.1,2.73,14271.0,18566.0,18566.0
95,DORCHESTER,Massachusetts,MA,88376.0,33.07,2.77,24975.33,24807.33,24807.33
96,DORCHESTER CENTER,Massachusetts,MA,55074.0,33.9,2.86,25480.0,26379.0,26379.0
97,MATTAPAN,Massachusetts,MA,29141.0,37.1,2.89,26417.0,24797.0,24797.0
98,CHARLESTOWN,Massachusetts,MA,18901.0,35.3,2.11,60146.0,69219.0,69219.0
99,JAMAICA PLAIN,Massachusetts,MA,39435.0,34.8,2.3,42397.0,47422.0,47422.0
100,ROSLINDALE,Massachusetts,MA,32819.0,37.8,2.58,34955.0,36857.0,36857.0
101,WEST ROXBURY,Massachusetts,MA,28505.0,44.4,2.47,45212.0,46494.0,46494.0
102,ALLSTON,Massachusetts,MA,18057.0,27.0,2.28,30562.0,33179.0,33179.0
103,BRIGHTON,Massachusetts,MA,42644.0,29.6,2.2,36749.0,37923.0,37923.0
104,HYDE PARK,Massachusetts,MA,33084.0,39.1,2.78,31035.0,29746.0,29746.0
105,BOXFORD,Massachusetts,MA,8228.0,45.9,3.04,53906.0,64217.0,64217.0
106,BOYLSTON,Massachusetts,MA,4524.0,42.7,2.63,43209.0,46148.0,46148.0
107,BREWSTER,Massachusetts,MA,9736.0,55.6,2.2,35453.0,43836.0,43836.0
108,BRIDGEWATER,Massachusetts,MA,27434.0,35.0,2.88,28543.0,34692.0,34692.0
109,BROCKTON,Massachusetts,MA,95161.0,35.85,2.93,27468.5,24640.5,24640.5
110,BROOKFIELD,Massachusetts,MA,3406.0,44.9,2.39,34229.0,37864.0,37864.0
111,BURLINGTON,Massachusetts,MA,26103.0,42.2,2.72,44359.0,45962.0,45962.0
112,BUZZARDS BAY,Massachusetts,MA,14218.0,36.85,2.6,33273.0,29456.0,29456.0
113,BYFIELD,Massachusetts,MA,2812.0,48.4,2.53,43547.0,45173.0,45173.0
114,CAMBRIDGE,Massachusetts,MA,110977.0,31.22,2.08,43863.4,58664.8,58664.8
115,CANTON,Massachusetts,MA,22829.0,41.1,2.49,51356.0,50869.0,50869.0
116,CARLISLE,Massachusetts,MA,5160.0,50.0,2.91,64098.0,87286.0,87286.0
117,CARVER,Massachusetts,MA,11617.0,47.2,2.6,34241.0,34361.0,34361.0
118,CATAUMET,Massachusetts,MA,815.0,45.9,2.7,28410.0,35629.0,35629.0
119,CENTERVILLE,Massachusetts,MA,9923.0,50.4,2.28,36823.0,40368.0,40368.0
120,CHARLTON,Massachusetts,MA,13379.0,43.1,2.71,41900.0,39167.0,39167.0
121,CHATHAM,Massachusetts,MA,4055.0,59.7,2.11,35299.0,62405.0,62405.0
122,CHELMSFORD,Massachusetts,MA,25961.0,44.5,2.64,50793.0,51331.0,51331.0
123,CHILMARK,Massachusetts,MA,1757.0,41.5,3.74,31319.0,43101.0,43101.0
124,CLINTON,Massachusetts,MA,13855.0,38.9,2.48,33604.0,33410.0,33410.0
